date,plant_num,leaf_num,area
2/28/2023,9,1,62.77
2/28/2023,9,1,68.36
2/28/2023,9,1,69.24
2/28/2023,9,1,66.5
2/28/2023,9,2,115.75
2/28/2023,9,2,126.97
2/28/2023,9,2,131.58
2/28/2023,9,2,125.85
2/28/2023,9,3,260.28
2/28/2023,9,3,242.91
2/28/2023,9,3,245.63
2/28/2023,9,3,249.62
2/28/2023,9,4,305.83
2/28/2023,9,4,305.09
2/28/2023,9,4,301.07
2/28/2023,9,4,304.97
2/28/2023,9,5,222.94
2/28/2023,9,5,220.64
2/28/2023,9,5,254.92
2/28/2023,9,5,244.2
2/28/2023,9,6,159.85
2/28/2023,9,6,155.4
2/28/2023,9,6,158.54
2/28/2023,9,6,160.37
2/28/2023,9,7,38.76
2/28/2023,9,7,42.98
2/28/2023,9,7,45.16
2/28/2023,9,7,44.94
2/28/2023,14,1,68.61
2/28/2023,14,1,66.67
2/28/2023,14,1,67.87
2/28/2023,14,2,146.03
2/28/2023,14,2,139.89
2/28/2023,14,2,151.05
2/28/2023,14,3,217.2
2/28/2023,14,3,236.8
2/28/2023,14,3,220.46
2/28/2023,14,4,234.77
2/28/2023,14,4,275.49
2/28/2023,14,4,247.68
2/28/2023,14,5,195.06
2/28/2023,14,5,196.64
2/28/2023,14,5,194.58
2/28/2023,14,6,80.62
2/28/2023,14,6,78.55
2/28/2023,14,6,92.79
2/28/2023,14,7,22.27
2/28/2023,14,7,21.83
2/28/2023,14,7,23.06
2/28/2023,18,1,71.12
2/28/2023,18,1,79.8
2/28/2023,18,1,73.51
2/28/2023,18,2,173.06
2/28/2023,18,2,150.19
2/28/2023,18,2,160.66
2/28/2023,18,3,207.34
2/28/2023,18,3,223.51
2/28/2023,18,3,186.3
2/28/2023,18,4,197.51
2/28/2023,18,4,187.52
2/28/2023,18,4,188.2
2/28/2023,18,5,114.07
2/28/2023,18,5,111.39
2/28/2023,18,5,109.72
2/28/2023,18,6,17.54
2/28/2023,18,6,18.99
2/28/2023,18,6,15.98
2/28/2023,17,1,82.95
2/28/2023,17,1,78.21
2/28/2023,17,1,83.34
2/28/2023,17,2,180
2/28/2023,17,2,158.27
2/28/2023,17,2,159.2
2/28/2023,17,3,256.91
2/28/2023,17,3,235.24
2/28/2023,17,3,222.82
2/28/2023,17,4,271.54
2/28/2023,17,4,273.52
2/28/2023,17,4,252.93
2/28/2023,17,5,167.29
2/28/2023,17,5,171.31
2/28/2023,17,5,161.43
2/28/2023,17,6,100.68
2/28/2023,17,6,99.87
2/28/2023,17,6,98.03
2/28/2023,17,7,12.81
2/28/2023,17,7,12.21
2/28/2023,17,7,10.08
2/28/2023,11,1,3.55
2/28/2023,11,1,3.37
2/28/2023,11,1,3.76
2/28/2023,11,2,11.89
2/28/2023,11,2,12.28
2/28/2023,11,2,13.13
2/28/2023,11,3,27.05
2/28/2023,11,3,30.93
2/28/2023,11,3,27.53
2/28/2023,11,4,76.47
2/28/2023,11,4,68.63
2/28/2023,11,4,71.88
2/28/2023,11,5,59.47
2/28/2023,11,5,63.61
2/28/2023,11,5,61.37
2/28/2023,11,6,20.13
2/28/2023,11,6,20.04
2/28/2023,11,6,19.27
2/28/2023,13,1,137.95
2/28/2023,13,1,131.85
2/28/2023,13,1,130.17
2/28/2023,13,2,236.37
2/28/2023,13,2,232.43
2/28/2023,13,2,219.66
2/28/2023,13,3,286.79
2/28/2023,13,3,288.7
2/28/2023,13,3,301.41
2/28/2023,13,4,224.23
2/28/2023,13,4,280.28
2/28/2023,13,4,280.19
2/28/2023,13,5,191.82
2/28/2023,13,5,186.91
2/28/2023,13,5,199.62
2/28/2023,13,6,78.86
