,26
Timestamp,2023-02-27T00:00:00
A01 - Daily Transpiration (g),37.97
A02 - Daily Transpiration (g),16.74
A03 - Daily Transpiration (g),71.57
A04 - Daily Transpiration (g),33.8
A05 - Daily Transpiration (g),28.5
A06 - Daily Transpiration (g),26.06
B01 - Daily Transpiration (g),98.36
B02 - Daily Transpiration (g),23.51
B03 - Daily Transpiration (g),113.33
B04 - Daily Transpiration (g),0.0
B05 - Daily Transpiration (g),110.55
B06 - Daily Transpiration (g),25.35
C01 - Daily Transpiration (g),78.1
C02 - Daily Transpiration (g),93.57
C04 - Daily Transpiration (g),123.66
C05 - Daily Transpiration (g),116.73
D02 - Daily Transpiration (g),55.32
D03 - Daily Transpiration (g),82.36
D04 - Daily Transpiration (g),96.69
D05 - Daily Transpiration (g),83.74
